Origen,Destino,Distancia (km)
Florencia,Manizales,613.77
Florencia,Yopal,895.8
Florencia,Popayán,266.93
Florencia,Valledupar,1311.61
Florencia,Quibdó,808.02
Florencia,Montería,1174.02
Florencia,Bogotá,547.63
Florencia,San José del Guaviare,476.51
Florencia,Neiva,236.39
Florencia,Riohacha,1505.18
Florencia,Santa Marta,1378.84
Florencia,Villavicencio,635.66
Florencia,San Juan de Pasto,390.34
Florencia,Cúcuta,1131.61
Florencia,Mocoa,244.87
Florencia,Armenia,527.05
Florencia,Pereira,562.23
Florencia,Bucaramanga,936.18
Florencia,Sincelejo,1337.92
Florencia,Ibagué,446.63
Florencia,Cali,417.1
Florencia,Puerto Carreño,1484.81
Yopal,Medellín,596.55
Yopal,Arauca,366.88
Yopal,Barranquilla,998.99
Yopal,Cartagena de Indias,1041.03
Yopal,Tunja,217.13
Yopal,Manizales,669.16
Yopal,Florencia,896.47
Yopal,Popayán,926.33
Yopal,Valledupar,891.91
Yopal,Quibdó,909.34
Yopal,Montería,840.81
Yopal,Bogotá,382.07
Yopal,San José del Guaviare,545.54
Yopal,Neiva,661.07
Yopal,Riohacha,1085.48
Yopal,Santa Marta,959.15
Yopal,Villavicencio,263.01
Yopal,San Juan de Pasto,1125.29
Yopal,Cúcuta,526.32
Yopal,Mocoa,979.82
Yopal,Armenia,628.37
Yopal,Pereira,663.55
Yopal,Bucaramanga,411.66
Yopal,Sincelejo,918.22
Yopal,Ibagué,547.95
Yopal,Cali,804.83
Yopal,Puerto Carreño,708.57
Popayán,Medellín,549.5
Popayán,Arauca,1289.44
Popayán,Barranquilla,1254.54
Popayán,Cartagena de Indias,1204.58
Popayán,Tunja,713.67
Popayán,Manizales,388.86
Popayán,Florencia,266.21
Popayán,Yopal,924.15
Popayán,Valledupar,1270.88
Popayán,Quibdó,552.85
Popayán,Montería,959.02
Popayán,Bogotá,575.98
Popayán,San José del Guaviare,941.04
Popayán,Neiva,264.74
Popayán,Riohacha,1464.45
Popayán,Santa Marta,1338.12
Popayán,Villavicencio,664.01
Popayán,San Juan de Pasto,254.51
Popayán,Cúcuta,1090.88
Popayán,Mocoa,276.97
Popayán,Armenia,309.2
Popayán,Pereira,338.18
Popayán,Bucaramanga,895.46
Popayán,Sincelejo,1026.03
Popayán,Ibagué,381.75
Popayán,Cali,137.11
Popayán,Puerto Carreño,1513.16
Valledupar,Medellín,760.4
Valledupar,Arauca,978.02
Valledupar,Barranquilla,294.78
Valledupar,Cartagena de Indias,360.25
Valledupar,Tunja,749.8
Valledupar,Manizales,887.06
Valledupar,Florencia,1310.28
Valledupar,Yopal,938.68
Valledupar,Popayán,1282.17
Valledupar,Quibdó,988.35
Valledupar,Montería,432.67
Valledupar,Bogotá,883.14
Valledupar,San José del Guaviare,1278.9
Valledupar,Neiva,1074.88
Valledupar,Riohacha,193.61
Valledupar,Santa Marta,254.94
Valledupar,Villavicencio,1001.87
Valledupar,San Juan de Pasto,1539.1
Valledupar,Cúcuta,564.49
Valledupar,Mocoa,1393.63
Valledupar,Armenia,974.57
Valledupar,Pereira,981.43
Valledupar,Bucaramanga,538.37
Valledupar,Sincelejo,317.7
Valledupar,Ibagué,884.84
Valledupar,Cali,1151.02
Valledupar,Puerto Carreño,1601.35
Quibdó,Medellín,236.7
Quibdó,Arauca,1083.17
Quibdó,Barranquilla,941.74
Quibdó,Cartagena de Indias,891.79
Quibdó,Tunja,671.2
Quibdó,Manizales,274.44
Quibdó,Florencia,796.52
Quibdó,Yopal,897.65
Quibdó,Popayán,553.31
Quibdó,Valledupar,1018.93
Quibdó,Montería,646.22
Quibdó,Bogotá,549.48
Quibdó,San José del Guaviare,914.55
Quibdó,Neiva,561.12
Quibdó,Riohacha,1212.51
Quibdó,Santa Marta,1086.17
Quibdó,Villavicencio,637.51
Quibdó,San Juan de Pasto,807.67
Quibdó,Cúcuta,838.94
Quibdó,Mocoa,879.87
Quibdó,Armenia,290.62
Quibdó,Pereira,250.15
Quibdó,Bucaramanga,643.51
Quibdó,Sincelejo,713.24
Quibdó,Ibagué,356.67
Quibdó,Cali,422.16
Quibdó,Puerto Carreño,1486.67
Montería,Medellín,408.33
Montería,Arauca,1120.13
Montería,Barranquilla,347.97
Montería,Cartagena de Indias,298.01
Montería,Tunja,657.85
Montería,Manizales,612.56
